lon,lat,easting,northing
-112.3685163,44.00263559,390284,4873075
-112.3686406,44.00231615,390274,4873040
-112.3689873,44.00208322,390246,4873015
-112.36945,44.00185462,390208,4872990
-112.3697973,44.00162191,390180,4872965
-112.3701442,44.00138902,390152,4872939
-112.370375,44.00115197,390133,4872913
-112.370708,44.00075123,390105,4872869
-112.3710475,44.00067903,390078,4872861
-112.3716141,44.00053178,390032,4872846
-112.3720713,44.00054558,389996,4872848
-112.3725333,44.00047935,389958,4872841
-112.3729922,44.00057501,389922,4872852
-112.3734591,44.00059161,389884,4872855
-112.3739147,44.00060459,389848,4872857
-112.3743688,44.00053551,389811,4872850
-112.3747097,44.00046337,389784,4872842
-112.3751648,44.00031301,389747,4872826
-112.3756214,44.00008163,389710,4872801
-112.376081,43.9998511,389673,4872776
-112.3765424,43.999621,389635,4872751
-112.3768833,43.99954879,389608,4872744
-112.3774518,43.99948278,389562,4872737
-112.377908,43.99949548,389526,4872739
-112.3783684,43.99934625,389488,4872723
-112.3788276,43.99911536,389451,4872698
-112.3792824,43.9990461,389415,4872691
-112.3798566,43.99881847,389368,4872667
-112.3801945,43.99882673,389341,4872668
-112.3805394,43.99859262,389313,4872642
-112.3808843,43.99835852,389285,4872617
-112.3811188,43.99804093,389265,4872582
-112.3813533,43.9977234,389246,4872547
-112.3815904,43.99724412,389226,4872494
-112.3816015,43.99692159,389225,4872458
-112.3816118,43.9965991,389223,4872422
-112.3815088,43.99627372,389231,4872386
-112.3812933,43.99594566,389248,4872349
-112.381077,43.99561761,389264,4872313
-112.3808607,43.99528965,389281,4872276
-112.3806446,43.9949618,389298,4872239
-112.3805441,43.99455626,389305,4872194
-112.3804379,43.99431174,389313,4872167
-112.3804461,43.99398941,389312,4872131
-112.3805689,43.9936701,389301,4872096
-112.3808083,43.99327321,389282,4872052
-112.3810457,43.99295689,389262,4872017
-112.381281,43.99272108,389243,4871991
-112.3816306,43.99248812,389214,4871966
-112.3819753,43.99225463,389186,4871940
-112.3823177,43.99202098,389158,4871915
-112.3827714,43.99178989,389121,4871890
-112.383222,43.99163923,389085,4871874
-112.3836726,43.99148859,389049,4871858
-112.383908,43.9911722,389029,4871823
-112.3840358,43.99085357,389018,4871788
-112.3843802,43.99062023,388990,4871762
-112.3847254,43.9903869,388962,4871737
-112.385074,43.99007317,388934,4871702
-112.3854203,43.98983991,388905,4871677
-112.3875002,43.98878536,388737,4871563
-112.3876158,43.98870721,388727,4871554
-112.3875121,43.98829772,388735,4871508
-112.38752,43.98797272,388733,4871472
-112.3875279,43.9876478,388732,4871436
-112.3875378,43.98724175,388731,4871391
-112.3875477,43.98683583,388729,4871346
-112.3876675,43.98651371,388719,4871310
-112.387675,43.98618896,388718,4871274
-112.388023,43.9857917,388689,4871231
-112.3881423,43.9854697,388679,4871195
-112.3883738,43.98523205,388660,4871169
-112.388493,43.98491018,388650,4871133
-112.3887258,43.98459141,388630,4871098
-112.3890721,43.98427572,388602,4871064
-112.3893029,43.98395657,388583,4871029
-112.389525,43.98363523,388565,4870993
-112.3898606,43.98323564,388537,4870949
-112.3898628,43.98291061,388536,4870913
-112.3899756,43.98258801,388526,4870878
-112.3900819,43.98226397,388517,4870842
-112.3900936,43.98186029,388516,4870797
-112.3901042,43.98161896,388514,4870770
-112.3902356,43.98130087,388503,4870735
-112.390263,43.98098181,388500,4870700
-112.3901819,43.98066102,388506,4870664
-112.3901009,43.9802585,388512,4870619
-112.3900177,43.97985552,388518,4870574
-112.389714,43.97936666,388541,4870519
-112.3896186,43.97904225,388548,4870483
-112.3894123,43.9787155,388564,4870447
-112.3890833,43.97846545,388590,4870418
-112.3887591,43.97813519,388616,4870381
-112.3884265,43.97788458,388642,4870353
-112.3880984,43.97755368,388668,4870316
-112.3878816,43.9773064,388685,4870288
-112.3875546,43.97697588,388710,4870251
-112.3872322,43.97656488,388735,4870205
-112.3870184,43.97631814,388752,4870177
-112.3868047,43.9760714,388769,4870149
-112.3865914,43.97574381,388785,4870113
-112.3861465,43.97541008,388820,4870075
-112.3859512,43.97500377,388835,4870030
-112.3857434,43.97475775,388851,4870002
-112.38542,43.97442783,388877,4869965
-112.3853241,43.97402263,388884,4869920
-112.3851074,43.97377565,388900,4869892
-112.385008,43.97345098,388908,4869856
-112.3847958,43.97312361,388924,4869819
-112.3846947,43.97279888,388932,4869783
-112.3844793,43.97247152,388948,4869746
-112.3845,43.97206942,388946,4869702
-112.3842824,43.97174194,388963,4869665
-112.3841783,43.97141723,388971,4869629
-112.3840757,43.97101212,388978,4869584
-112.3839684,43.97068746,388986,4869548
-112.3839761,43.97036563,388985,4869512
-112.3838695,43.97004124,388993,4869476
-112.3837635,43.96971699,389001,4869440
-112.38366,43.96939287,389008,4869403
-112.3835479,43.96890816,389016,4869349
-112.3834403,43.96866459,389025,4869322
-112.3833393,43.96834081,389032,4869286
-112.3830122,43.96793172,389058,4869240
