lat,lon,el_ft
43.99112862,-112.4182641,"4853.6	"
43.99112862,-112.4182541,"4853.6						"
43.99112861,-112.418248,"4853.6						"
43.99112861,-112.418242,"4853.6						"
43.99112861,-112.418238,"4853.6						"
43.9911286,-112.418227,"4853.6						"
43.99112932,-112.4182159,"4853.7						"
43.99112932,-112.4182119,"4853.7						"
43.99112931,-112.4181979,"4853.7						"
43.99112787,-112.4181849,"4853.7						"
43.99112642,-112.4181749,"4853.7						"
43.99112642,-112.4181688,"4853.7						"
43.9911257,-112.4181578,"4853.7						"
43.9911257,-112.4181548,"4853.7						"
43.9911257,-112.4181488,"4853.8						"
43.99112569,-112.4181398,"4853.8						"
43.99112569,-112.4181328,"4853.8						"
43.99112641,-112.4181278,"4853.8						"
43.9911264,-112.4181118,"4853.8						"
43.99112712,-112.4180978,"4853.9						"
43.99112712,-112.4180888,"4853.9						"
43.99112711,-112.4180718,"4853.9						"
43.99112711,-112.4180549,"4853.9						"
43.9911271,-112.4180519,"4853.9						"
43.9911271,-112.4180429,"4854.0						"
43.9911271,-112.4180399,"4854.0						"
43.9911271,-112.4180369,"4854.0						"
43.9911271,-112.4180299,"4854.0						"
43.9911271,-112.4180219,"4854.0						"
43.99112709,-112.4180079,"4854.0						"
43.99112709,-112.4179989,"4854.0						"
43.99112708,-112.4179889,"4854.1						"
43.99112708,-112.417976,"4854.1						"
43.99112636,-112.417968,"4854.1						"
43.99112636,-112.417951,"4854.1						"
43.99112635,-112.417944,"4854.1						"
43.99112635,-112.417939,"4854.1						"
43.99112635,-112.4179281,"4854.2						"
43.99112563,-112.4179231,"4854.2						"
43.99112562,-112.4179161,"4854.2						"
43.99112562,-112.4179081,"4854.2						"
43.9911249,-112.4178921,"4854.2						"
43.99112489,-112.4178882,"4854.2						"
43.99112489,-112.4178792,"4854.2						"
43.99112489,-112.4178762,"4854.3						"
43.99112488,-112.4178632,"4854.3						"
43.99112416,-112.4178573,"4854.3						"
