Counter,Date,Time,LatitudeSensor1,LongitudeSensor1,MagSensor1,Signal1,Track,LocationSource,Hdop,FixQuality, SatellitesUsed, Altitude,HeightOverEllipsoid,SpeedOverGround,MagneticVariation,VariationDirection,ModeIndicator,GgaSentence,RmcSentence,EventCode,EventInfo,EventText,EventData,,,,,,,,,,,,,,,,,,,,,,
15152,7/6/2022,26:11.0,43.9887745,-112.2965443,53093.426,1458,0,G,0.6,2,18,1482.59,-17,0.1,0, ,D,'$GPGGA,162611,4359.32647,N,11217.79266,W,2,18,0.6,1482.59,M,-17,M,,*6E','$GPRMC,162611,A,4359.32647,N,11217.79266,W,0.1,0,60722,,,D*7D'
15153,7/6/2022,26:11.1,43.9887745,-112.2965443,53093.306,1458,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15154,7/6/2022,26:11.2,43.9887745,-112.2965443,53093.378,1460,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15155,7/6/2022,26:11.3,43.9887745,-112.2965443,53093.28,1462,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15156,7/6/2022,26:11.4,43.9887745,-112.2965443,53093.234,1462,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15157,7/6/2022,26:11.5,43.9887745,-112.2965443,53093.282,1462,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15158,7/6/2022,26:11.6,43.9887745,-112.2965443,53093.136,1460,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15159,7/6/2022,26:11.7,43.9887745,-112.2965443,53092.97,1462,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15160,7/6/2022,26:11.8,43.9887745,-112.2965443,53092.56,1462,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15161,7/6/2022,26:11.9,43.9887745,-112.2965443,53092.37,1458,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15162,7/6/2022,26:12.0,43.9887745,-112.2965443,53092.152,1453,0,G,0.6,2,18,1482.59,-17,0.2,0, ,D,'$GPGGA,162612,4359.32647,N,11217.79266,W,2,18,0.6,1482.59,M,-17,M,,*6D','$GPRMC,162612,A,4359.32647,N,11217.79266,W,0.2,0,60722,,,D*7D'
15163,7/6/2022,26:12.1,43.9887745,-112.2965443,53092.058,1453,17.2,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15164,7/6/2022,26:12.2,43.9887745,-112.2965443,53092.418,1458,34.4,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
