sample,layer,easting,northing,total(kg/m2),<=-4phi,<=-3.5phi,<=-3phi,<=-2.5phi,<=-2phi,<=-1.5phi, <=-1phi,<=-0.5phi,<=0phi,<=0.5phi,<=1phi,<=1.5phi,<=2phi,<=2.5phi,<=3phi,>3phi
01, a, 526774, 1381087, 324.22, 1.21, 3.45, 12.69, 49.02, 39.56, 75.28, 64.53, 39.58, 23.64 , 13.24 , 1.62 , 0.31 , 0.07 , 0.02 , 0.00 , 0.00 
01, b, 526774, 1381087, 184.96, 0.00, 0.00, 0.85, 5.25, 11.39, 20.10, 33.84, 44.73 , 31.50 , 22.20 , 10.47 , 3.77 , 0.75 , 0.10 , 0.02 , 0.00 
02, a, 526028, 1380972, 207.68, 0.00, 1.50, 6.57, 11.78, 24.43, 44.10, 47.14, 43.06 , 21.30 , 5.35 , 1.68 , 0.45 , 0.27 , 0.05 , 0.00 , 0.00 
02, b, 526028, 1380972, 48.62, 0.00, 0.00, 0.25, 1.18, 2.64, 6.80, 13.78, 9.62 , 6.42 , 3.39 , 1.65 , 1.51 , 0.85 , 0.26 , 0.13 , 0.14  
03, a, 525477, 1380291, 311.62, 0.00, 0.81, 1.29, 7.34, 13.96, 28.01, 45.60, 67.55 , 64.89 , 56.34 , 20.82 , 4.52 , 0.40 , 0.08 , 0.00 , 0.00 
03, b, 525477, 1380291, 164.61, 0.00, 0.00, 0.77, 0.89, 2.27, 8.08, 17.98, 35.36 , 39.84 , 37.46 , 15.99 , 3.38 , 1.72 , 0.50 , 0.17 , 0.22  
04, a, 524516, 1379866, 105.25, 0.00, 0.73, 0.25, 0.86, 2.48, 6.16, 11.47, 23.79 , 21.76 , 21.41 , 10.48 , 4.38 , 1.08 , 0.10 , 0.16 , 0.13 
04, b, 524516, 1379866, 144.53, 0.00, 0.00, 0.13, 0.61, 2.26, 6.17, 14.91, 28.18 , 35.22 , 33.83 , 16.57 , 5.48 , 0.74 , 0.17 , 0.13 , 0.13 
05, a, 523595, 1379462, 174.94, 0.00, 0.00, 0.79, 2.13, 3.87, 8.83, 18.01, 30.91 , 40.29 , 36.96 , 20.94 , 8.09 , 2.03 , 1.04 , 0.60 , 0.45 
05, b, 523595, 1379462, 70.36, 0.00, 0.00, 0.00, 0.00, 0.14, 0.81, 3.53, 10.70 , 16.24 , 20.19 , 11.69 , 4.44 , 1.54 , 0.43 , 0.24 , 0.41  
06, a, 522674, 1379481, 189.75, 0.00, 0.00, 0.00, 1.55, 2.69, 6.32, 15.38, 33.08 , 39.92 , 45.61 , 27.39 , 11.80 , 4.45 , 0.88 , 0.31 , 0.36 
06, b, 522674, 1379481, 37.02, 0.00, 0.00, 0.00, 0.02, 0.17, 0.50, 2.08, 5.53 , 10.17 , 8.52 , 5.96 , 2.44 , 1.17 , 0.23 , 0.11 , 0.13 
07, m,  521642, 1379304, 171.60, 0.00, 0.00, 0.00, 0.00, 0.14, 0.86, 4.19, 20.02  , 52.08 , 31.68 , 37.48 , 16.08 , 4.14 , 1.47 , 0.71 , 2.76 
08, m, 520715, 1378964, 120.24, 0.00, 0.00, 0.00, 0.00, 0.00, 0.43, 2.27, 7.01 , 16.78 , 29.75 , 28.07 , 15.89 , 7.04 , 3.98 , 2.57 , 6.45 
09, m,519877, 1378201, 62.85, 0.00, 0.00, 0.00, 0.00, 0.00, 0.02, 0.17, 0.79 , 3.08 , 8.99 , 12.69 , 10.33 , 9.28 , 5.66 , 3.05 , 8.80 
10, m, 520742, 1379432, 160.82, 0.00, 0.00, 0.00, 0.00, 0.04, 0.35, 2.11, 7.77 , 21.68 , 39.49 , 34.80 , 19.04 , 10.53 , 6.93 , 4.26 , 13.82 
11, m, 520990, 1380130, 155.96, 0.00, 0.00, 0.00, 0.21, 0.34, 1.15, 4.05, 16.03 , 28.86 , 40.53 , 31.20 , 15.05 , 10.06 , 4.69 , 1.41 , 2.39 
12, m, 520892, 1381127, 167.18, 0.00, 0.00, 0.00, 0.00, 0.24, 1.78, 6.12, 21.81 , 33.90 , 52.00 , 28.02 , 11.75 , 4.86 , 1.97 , 1.06 , 3.66 
13, m, 521902, 1382109, 71.26, 0.00, 0.00, 0.00, 0.06, 0.12, 0.78, 2.73, 8.13  , 15.50 , 21.82 , 12.83 , 4.54 , 1.99 , 0.76 , 0.41 , 1.60 
14, m, 522118, 1379921, 157.04, 0.00, 0.00, 0.00, 0.13, 1.33, 4.29, 11.89, 28.91 , 45.00 , 43.71 , 15.69 , 3.54 , 1.33 , 0.62 , 0.31 , 0.31 
15, a, 523973, 1380489, 87.57, 0.00, 0.00, 0.10, 1.66, 3.14, 8.60, 20.19, 25.54 , 16.75 , 7.53 , 2.09 , 0.97 , 0.50 , 0.19 , 0.14 , 0.17 
15, b, 523973, 1380489, 168.83, 0.00, 0.00, 0.63, 2.03, 5.32, 14.79, 31.26, 49.48 , 40.41 , 20.97 , 3.52 , 0.32 , 0.05 , 0.00 , 0.05 , 0.00 
16, b, 525162, 1380976, 255.77, 0.00, 0.00, 3.72, 8.84, 18.32, 35.16, 52.99, 60.50 , 44.29 , 22.04 , 5.97 , 1.97 , 0.98 , 0.42 , 0.28 , 0.28 
17, a, 525544, 1381476, 121.42, 0.00, 0.40, 2.64, 7.22, 15.32, 26.61, 25.32, 18.54 , 10.66 , 7.22 , 3.81 , 2.09 , 0.84 , 0.33 , 0.22 , 0.18 
17, b, 525544, 1381476, 128.81, 0.00, 0.00, 0.42, 2.51, 4.76, 12.10, 20.39, 30.48 , 24.70 , 19.76 , 8.54 , 2.86 , 0.81 , 0.32 , 0.21 , 0.95 
18, m, 525760, 1382320, 152.96, 0.00, 0.00, 0.25, 1.23, 3.28, 8.64, 16.59, 29.32 , 32.52 , 29.98 , 17.04 , 7.94 , 2.42 , 0.74 , 0.53 , 2.50 
19, m, 524400, 1382378, 275.93, 0.00, 0.00, 0.60, 2.87, 6.50, 13.37, 27.28, 52.59 , 61.80 , 53.34 , 28.11 , 12.92 , 6.35 , 4.31 , 1.96 , 3.93 
20, m, 523387, 1382182, 193.02, 0.00, 0.00, 0.47, 1.04, 2.09, 6.84, 10.87, 20.69 , 26.38 , 34.63 , 26.33 , 22.41 , 13.79 , 5.64 , 6.48 , 15.36 
21, m, 522453, 1381550, 147.72, 0.00, 0.00, 0.00, 0.00, 0.46, 1.31, 4.59, 11.30 , 17.86 , 23.57 , 21.06 , 17.44 , 12.96 , 8.56 , 5.94 , 22.65 
22, m,521894, 1380712, 170.75, 0.00, 0.00, 0.00, 0.33, 1.09, 4.31, 10.37, 2.46 , 32.93 , 37.51 , 24.57 , 16.60 , 12.29 , 7.26 , 4.81 , 16.22 
23, b, 529889, 1379931, 246.92, 0.00, 0.00, 0.00, 0.00, 0.27, 1.49, 5.16, 13.04 , 35.46 , 63.92 , 64.19 , 36.41 , 16.37 , 6.05 , 1.77 , 2.79 
24, m, 529139, 1380417, 831.91, 0.00, 5.47, 31.23, 55.16, 79.32, 127.41, 141.31, 164.79 , 126.27 , 73.39 , 21.88 , 4.33 , 1.14 , 0.23 , 0.00 , 0.00 
25, m,  528622, 1380874, 1432.94, 11.60, 15.47, 28.62, 54.15, 112.55, 208.85, 262.99, 303.60 , 231.67 , 137.30 , 51.44 , 11.22 , 3.09 , 0.39 , 0.00 , 0.00 
26, m, 527524, 1380945, 737.68, 9.46, 8.48, 30.56, 42.59, 51.47, 108.06, 140.59, 159.13 , 104.11 , 59.16 , 17.35 , 4.93 , 1.58 , 0.20 , 0.00 , 0.00 
27, a, 526823, 1381601, 149.18, 6.74, 3.44, 10.85, 19.11, 22.94, 26.83, 23.21, 18.88 , 9.55 , 4.51 , 1.83 , 0.76 , 0.40 , 0.13 , 0.00 , 0.00 
27, b, 526823, 1381601, 243.91, 0.00, 0.00, 0.35, 1.60, 5.37, 9.83, 19.18, 36.33 , 54.46 , 52.09 , 41.49 , 14.85 , 4.32 , 1.39 , 0.98 , 1.67 
28, a, 526524, 1381709, 112.10, 4.20, 1.75, 5.49, 10.18, 13.95, 24.22, 24.06, 16.49 , 7.23 , 2.02 , 0.83 , 0.95 , 0.52 , 0.18 , 0.03 , 0.00 
28, b, 526524, 1381709, 225.68, 0.00, 0.00, 0.26, 1.17, 1.69, 5.01, 10.93, 27.97 , 44.37 , 60.89 , 29.73 , 12.43 , 4.75 , 3.77 , 2.60 , 20.10 
29, a, 524433, 1381454, 80.41, 0.51, 0.42, 1.76, 5.04, 11.80, 18.07, 18.78, 15.01 , 5.99 , 1.76 , 0.51 , 0.33 , 0.24 , 0.13 , 0.04 , 0.02 
29, b, 524433, 1381454, 166.62, 0.00, 0.00, 0.00, 0.48, 1.16, 4.78, 11.69, 25.45 , 40.04 , 48.01 , 25.26 , 7.78 , 1.69 , 0.24 , 0.05 , 0.00 
30, m, 523722, 1381349, 276.09, 0.00, 0.00, 2.27, 3.32, 11.90, 26.80, 44.53, 58.29 , 43.48 , 31.74 , 18.62 , 13.44 , 6.88 , 3.16 , 2.11 , 9.55 
