Long Lat Mag_nT
-116.60327869609878 36.76134514259738 48207.1
-116.60329959698052 36.76134330032411 48208.1
-116.60332147068448 36.76134159046907 48209.9
-116.60334442659236 36.761340071874365 48211.7
-116.60336817040746 36.7613387579515 48213.6
-116.60339256744912 36.7613376557755 48215.2
-116.60341742944097 36.76133675373416 48215.1
-116.60344252315252 36.76133604224503 48214.8
-116.6034675799727 36.76133544743767 48216.0
-116.60349248074562 36.76133492897762 48217.9
-116.60351712570125 36.76133446311314 48220.2
-116.60354139763056 36.76133405282988 48222.2
-116.60356531428428 36.76133369962773 48223.8
-116.6035889029806 36.76133341019076 48225.8
-116.6036122147988 36.76133319248218 48227.3
-116.60363527532168 36.761333054568574 48229.0
-116.60365818535736 36.76133296944568 48230.8
-116.60368104183983 36.76133291514768 48232.5
-116.60370392795204 36.76133287432626 48234.1
-116.60372693837336 36.761332840616205 48236.0
-116.6037501091729 36.76133282070709 48236.9
-116.60377345570716 36.761332830504 48236.8
-116.60379697853166 36.76133288073013 48236.7
-116.60382068343732 36.76133297906101 48237.0
-116.6038445233367 36.76133311303703 48237.5
-116.60386849116568 36.76133326876527 48237.7
-116.60389257170962 36.761333433339686 48237.3
-116.60391675530228 36.7613335943857 48236.6
-116.60394100660308 36.76133374743545 48235.9
-116.6039653043379 36.76133388997189 48235.3
-116.60398963113634 36.76133401746841 48234.5
-116.60401398285752 36.761334122124005 48233.6
-116.60403836284 36.76133420023012 48232.6
-116.6040627705008 36.76133424875809 48231.4
-116.60408719927548 36.76133426866289 48230.0
-116.60411164001331 36.76133426022054 48228.7
-116.60413607693256 36.761334238744325 48227.3
-116.6041604941732 36.761334220374906 48226.1
-116.60418488960708 36.76133422698207 48225.2
-116.60420925870852 36.7613342882323 48224.0
-116.60423359670686 36.76133440596699 48222.8
-116.60425792161388 36.76133457431414 48221.6
-116.60428224723827 36.761334786474094 48220.8
-116.60430657940378 36.76133504087598 48220.3
-116.6043309159222 36.76133532459585 48219.9
-116.60435526685086 36.761335627634814 48219.5
-116.60437963967098 36.761335938662896 48219.2
-116.60440404662828 36.76133624798536 48219.1
-116.60442849515849 36.76133654695994 48219.3
-116.60445299660624 36.761336826174 48219.3
-116.60447755679635 36.761337075818965 48219.8
-116.60450220504045 36.76133727996064 48220.3
-116.6045269553778 36.76133743697896 48220.8
-116.60455180825656 36.76133754417304 48221.3
-116.60457675834368 36.7613376029792 48222.6
-116.60460180646972 36.76133762010684 48223.5
-116.60462690080496 36.76133762306947 48224.1
-116.60465197773736 36.76133763048525 48225.1
-116.60467698029296 36.76133765259711 48226.4
-116.60470183681424 36.76133769447389 48227.7
-116.60472653954776 36.76133775228725 48229.7
-116.60475110303804 36.76133782070093 48232.0
-116.60477555851642 36.761337892522185 48234.4
-116.6047999406489 36.7613379576949 48236.9
-116.6048243038208 36.76133800950096 48239.0
-116.60484866859431 36.76133804165136 48240.7
-116.60487303241842 36.76133804557344 48242.3
-116.60489738200864 36.76133800700554 48243.5
-116.60492171649064 36.76133792733526 48244.7
-116.604946027098 36.76133781330248 48245.7
-116.60497031522644 36.76133768040879 48246.3
-116.6049945961295 36.761337554992295 48246.9
-116.60501888414528 36.76133746928304 48246.7
-116.60504320248354 36.76133745067291 48246.0
-116.60506758341674 36.761337514353166 48245.3
-116.60509205512734 36.76133767259357 48245.0
-116.60511670711185 36.76133789992336 48244.1
-116.60514126621788 36.761338171765885 48242.6
-116.60516612826156 36.76133847462423 48241.7
-116.60519098947104 36.7613387922116 48241.1
-116.60521591009773 36.761339114733175 48240.3
-116.60524086864132 36.76133943624394 48238.5
-116.60526584928849 36.7613397474455 48237.1
-116.60529085664643 36.76134002931578 48236.5
-116.60531589432532 36.76134027110117 48236.1
-116.60534095820135 36.76134046157479 48235.4
-116.60536603158153 36.76134059431201 48235.0
-116.6053911186298 36.76134065105548 48234.9
-116.60541620913204 36.76134063456924 48235.3
-116.60544129121024 36.76134054393247 48235.8
-116.60546635411276 36.76134038919708 48236.2
-116.60549140039286 36.761340174278885 48236.3
-116.6055164235026 36.76133992285354 48237.0
-116.6055414034443 36.76133965104108 48238.5
-116.60556632069456 36.76133937233894 48239.9
-116.605591131771 36.7613390975962 48241.2
-116.6056158283712 36.761338832285766 48242.9
-116.60564040868708 36.7613385810646 48245.3
-116.60566488572236 36.76133834702732 48248.0
-116.6056892658206 36.76133813146881 48250.9
-116.6057135985526 36.76133792126839 48254.0
-116.60573792386153 36.7613377066016 48258.0
-116.60576227703342 36.76133748735104 48262.3
-116.60578669626248 36.76133727572124 48267.4
-116.6058111828655 36.76133709067694 48272.8
-116.6058357347109 36.76133695426629 48277.8
-116.60586036106282 36.76133688589415 48282.9
-116.60588504209076 36.7613369093619 48288.8
-116.60590975215857 36.761337004987375 48295.3
-116.6059344894378 36.76133714465731 48302.6
-116.6059592452648 36.76133729497258 48309.7
-116.6059840174026 36.7613374267934 48316.7
-116.60600879943308 36.76133752546299 48324.9
-116.60603357871388 36.761337580937486 48332.9
-116.60605833694416 36.76133758798812 48340.4
-116.60608308038069 36.76133753474871 48347.6
-116.60610782378724 36.761337436477554 48354.2
-116.6061325718126 36.7613373084751 48360.3
-116.60615733003596 36.76133715923329 48366.5
-116.6061821101042 36.76133698363054 48372.9
-116.60620691422533 36.76133678195718 48378.4
-116.60623173519228 36.76133655662456 48383.5
-116.60625656197648 36.76133631801044 48388.6
-116.60628137220264 36.76133608217442 48393.1
-116.60630614602356 36.76133586174351 48396.4
-116.6063308731526 36.761335660258005 48399.5
-116.60635556045808 36.76133547792928 48402.8
-116.60638021603975 36.76133532600578 48405.9
-116.606404860514 36.761335208518055 48408.5
-116.6064295076396 36.76133512816699 48410.7
-116.60645417039576 36.761335083887886 48412.2
-116.60647885472 36.76133507977591 48413.4
-116.606503563784 36.76133510482854 48414.3
-116.60652830491816 36.76133515507336 48414.8
-116.6065530815847 36.76133522770198 48415.5
-116.60657788637432 36.76133532836288 48415.9
-116.60660269498412 36.76133545864042 48415.1
-116.60662748346807 36.76133562073228 48414.3
-116.60665222099976 36.761335812908 48413.4
-116.60667684299052 36.761336028691694 48412.7
-116.6067013397566 36.761336252916216 48411.6
-116.60672571873216 36.761336481029765 48410.3
-116.60675000404748 36.76133671037754 48409.1
-116.60677423023108 36.76133693949294 48408.1
-116.60679845317156 36.76133716358815 48407.1
-116.60682270778652 36.76133737266005 48405.1
-116.6068470081638 36.76133755127797 48402.7
-116.60687139184104 36.76133766467752 48401.2
-116.60689586809208 36.76133769010264 48399.6
-116.60692042885044 36.76133760136426 48398.0
-116.60694504152224 36.7613373850256 48396.0
-116.60696971437964 36.7613370272218 48394.4
-116.60699440404396 36.76133657729055 48392.6
-116.60701905905604 36.76133608044096 48390.4
-116.60704365325611 36.76133558279668 48388.1
-116.60706814919956 36.76133513535956 48386.3
-116.60709254752612 36.76133475514753 48384.6
-116.60711685617876 36.76133444757621 48382.8
-116.60714109202831 36.76133420852689 48381.0
-116.60716524754577 36.7613340451626 48379.2
-116.60718935116786 36.76133394830545 48377.2
-116.60721343244218 36.76133392248897 48375.2
-116.60723752432564 36.76133397323531 48373.4
-116.60726163584737 36.76133411358348 48371.7
-116.60728577288924 36.76133432807838 48369.8
-116.60730994876393 36.76133460406665 48368.0
-116.60733416531194 36.76133491999036 48366.3
-116.60735841293577 36.76133524831762 48364.6
-116.60738267748836 36.761335553130806 48362.8
-116.60740694620588 36.76133581003705 48361.2
-116.60743119802352 36.76133600593419 48359.8
-116.60745543322564 36.76133612349487 48358.3
-116.60747965260292 36.761336174173024 48356.8
-116.60750385005863 36.76133616816431 48355.3
-116.60752802972203 36.76133612412521 48353.6
-116.60755220252564 36.76133606521719 48352.0
-116.60757637205523 36.76133601770211 48350.3
-116.60760054100987 36.761335995207205 48348.7
-116.60762471715124 36.76133600059805 48347.0
-116.60764890185932 36.76133602958675 48345.6
-116.60767310407932 36.76133606818433 48343.9
-116.607697334327 36.76133611086133 48342.5
-116.60772159905788 36.76133615495623 48341.1
-116.60774590580014 36.76133619813941 48339.8
-116.60777024878172 36.76133623649091 48338.3
-116.60779462872512 36.76133626269112 48337.3
-116.60781904736956 36.76133626818141 48336.8
-116.607843523349 36.761336247210686 48335.3
-116.60786804565312 36.7613362111204 48333.2
-116.60789260234804 36.7613361675168 48331.9
-116.60791718108744 36.76133611973402 48330.8
-116.6079417674906 36.76133607433337 48329.3
-116.60796634309033 36.76133603184106 48328.4
-116.60799089138963 36.76133598407044 48327.5
-116.60801538944548 36.761335915845926 48326.3
-116.60803981970037 36.76133580798076 48325.4
-116.60806418928227 36.76133565687029 48324.6
-116.60808849985597 36.76133546350004 48323.8
-116.60811276119692 36.761335242409785 48323.1
-116.60813698512518 36.761335024752064 48321.9
-116.60816117822014 36.7613348372233 48320.6
-116.60818534829852 36.76133469252712 48319.5
-116.60820950951782 36.761334597255015 48318.5
-116.60823366166244 36.7613345572192 48317.6
-116.6082578225344 36.761334555894486 48316.9
-116.6082820127366 36.761334584436746 48316.6
-116.6083062430707 36.76133463372343 48316.3
-116.60833051006082 36.76133469893908 48314.9
-116.60835479027328 36.761334776196726 48313.5
-116.60837905948392 36.76133486064295 48312.4
-116.6084032978127 36.76133494434522 48311.7
-116.6084274910072 36.76133501926676 48311.5
-116.6084516433192 36.76133508235248 48311.0
-116.60847575078144 36.76133513484938 48310.3
-116.60849980875436 36.761335179941256 48309.6
-116.60852380107222 36.76133521242669 48308.7
-116.60854772980004 36.76133521908258 48307.9
-116.60857159277948 36.76133518738086 48307.2
-116.60859538775335 36.7613351159973 48306.7
-116.60861912818116 36.76133501370856 48306.3
-116.60864283907596 36.761334911086045 48305.7
-116.6086665316568 36.7613348406573 48304.8
-116.6086902265248 36.761334828777485 48303.5
-116.60871390882792 36.76133489909881 48302.5
-116.60873757172538 36.76133503340854 48302.0
-116.60876121086412 36.76133521955158 48301.5
-116.60878481821425 36.761335446194416 48301.1
-116.60880837449004 36.7613357137784 48301.0
-116.6088318976216 36.76133601538328 48300.9
-116.60885541534024 36.761336351541296 48300.4
-116.60887896168884 36.761336719970096 48299.1
-116.6089025744035 36.761337123358864 48297.8
-116.60892627185264 36.76133755028429 48297.7
-116.6089500678588 36.761337989612414 48297.8
-116.60897395832168 36.76133842966704 48297.5
-116.60899791838172 36.76133885706588 48296.9
-116.60902187625418 36.761339256852295 48296.5
-116.60904583416216 36.761339613030266 48296.4
-116.60906944171012 36.761339899766256 48296.6
-116.60909251689472 36.76134005338747 48296.2
-116.60925233503536 36.76124594115178 48303.0
-116.6092505454435 36.76122966669405 48312.8
-116.60924827743372 36.76121244867466 48311.9
-116.60924581857368 36.76119431996389 48310.0
-116.60924344318344 36.761175666013045 48307.8
-116.60924125436814 36.76115673606167 48309.0
-116.60923925770572 36.76113782926822 48311.9
-116.6091162700732 36.761013652366735 48320.1
-116.60909789669104 36.76101504626918 48345.8
-116.6090784362238 36.7610166493225 48341.8
-116.60905790836736 36.76101832436487 48339.9
-116.60903627295704 36.76101992788752 48339.2
-116.60901376511048 36.76102138650816 48340.2
-116.6089904732624 36.76102266384551 48341.3
-116.60896647060028 36.76102374789444 48340.5
-116.60894192221224 36.76102461404188 48340.0
-116.6089170574554 36.76102534338505 48341.3
-116.60889201471738 36.76102599748379 48342.9
-116.60886691324971 36.76102663352593 48343.9
-116.60884186170172 36.76102729415408 48345.1
-116.60881696571208 36.7610279891322 48346.3
-116.60879232381812 36.761028713216646 48347.2
-116.60876801850836 36.761029455230414 48347.8
-116.60874414669397 36.76103020008255 48348.1
-116.60872065998474 36.761030923771294 48348.8
-116.60869753955468 36.76103159795422 48349.0
-116.60867473494196 36.76103219696524 48348.5
-116.60865228967212 36.761032686507 48347.6
-116.60863008833098 36.76103307712784 48347.3
-116.60860804017416 36.76103336833081 48349.4
-116.60858600409816 36.7610335552844 48349.8
-116.6085638510045 36.761033612045125 48349.1
-116.60854142315684 36.76103356722649 48349.5
-116.60851860399572 36.7610334371393 48351.0
-116.60849533902694 36.761033244779874 48351.7
-116.60847159834228 36.76103302002085 48352.4
-116.6084475168796 36.761032803906346 48354.7
-116.60842318346552 36.761032625260086 48355.1
-116.60839870079351 36.761032504432 48354.3
-116.6083741167156 36.76103247364868 48354.0
-116.60834952495624 36.76103252718431 48354.7
-116.60832497651874 36.76103266506404 48356.2
-116.6083005088884 36.76103288046714 48356.7
-116.60827611343709 36.76103316902776 48356.4
-116.60825178884372 36.76103349727052 48356.3
-116.60822753019728 36.76103385044275 48356.8
-116.60820332544152 36.76103422014689 48356.3
-116.6081791601658 36.76103461210747 48356.3
-116.6081550207203 36.76103502705395 48356.8
-116.60813090513626 36.761035455527534 48356.6
-116.60810681119014 36.76103587752282 48357.4
-116.608082749086 36.761036263819285 48358.7
-116.60805870563824 36.76103658780593 48359.0
-116.60803466888748 36.76103681807828 48358.7
-116.60801060035908 36.76103693042239 48358.1
-116.607986542703 36.761036888296005 48359.2
-116.60796248210356 36.76103672003932 48360.8
-116.60793841796112 36.76103644995067 48360.2
-116.60791436806542 36.761036121035545 48360.4
-116.60789036686565 36.76103579708094 48364.0
-116.60786640796248 36.76103553608041 48368.8
-116.60784247486552 36.76103537056624 48370.1
-116.60781854016966 36.761035310338 48369.5
-116.60779448455844 36.76103535354972 48369.6
-116.60777028024457 36.761035455314726 48371.3
-116.60774591508203 36.76103557644065 48373.3
-116.6077213962392 36.76103567928744 48374.7
-116.60769677206356 36.76103572075916 48376.1
-116.60767210651171 36.76103569625016 48377.4
-116.60764742733872 36.76103562031951 48379.6
-116.60762275124956 36.76103552029694 48381.0
-116.60759808300828 36.761035414569456 48381.8
-116.60757341417484 36.76103531972062 48383.2
-116.60754874044196 36.76103524886543 48384.4
