Long Lat Mag_nT
-116.5972047991442 36.767582884707885 48519.4
-116.59720632669452 36.767597488317726 48519.5
-116.59720789438045 36.7676129868712 48518.2
-116.59720938648464 36.76762947693256 48516.0
-116.59721072101672 36.76764689688069 48514.6
-116.59721184172452 36.76766518177423 48514.9
-116.59721272730488 36.767684274429485 48518.2
-116.59721337181162 36.767704228800994 48521.3
-116.59721384023672 36.767724539283606 48520.5
-116.59721418111748 36.76774509157462 48517.2
-116.59721441704832 36.767765580872606 48514.2
-116.59721455664886 36.76778589615876 48512.3
-116.59721462789788 36.76780574590193 48511.5
-116.59721464989236 36.76782507665437 48511.4
-116.59721464238226 36.76784364889337 48511.5
-116.59721462532428 36.76786141524159 48511.7
-116.59721462381472 36.76787847381902 48511.4
-116.59721465924645 36.76789508841774 48511.1
-116.59721476015346 36.76791134972239 48511.5
-116.59721494291344 36.7679274341215 48511.9
-116.59721517720048 36.76794363847482 48511.9
-116.5972154264696 36.76795995430437 48511.3
-116.59721566725328 36.76797654215575 48510.9
-116.59721588648075 36.767993454381845 48511.8
-116.5972160902922 36.76801078855168 48513.4
-116.597216278836 36.76802845063966 48513.8
-116.59721644986853 36.76804646555896 48513.0
-116.59721659964384 36.76806467175904 48512.3
-116.59721673859566 36.76808304236984 48511.2
-116.59721687694964 36.76810145514886 48510.7
-116.59721703129593 36.76812002131872 48510.0
-116.59721722689896 36.768138645642175 48509.7
-116.5972174743715 36.76815740221495 48509.6
-116.5972177819572 36.76817614092862 48508.7
-116.59721815274364 36.76819494343172 48508.3
-116.5972185862508 36.768213752500245 48508.6
-116.59721907438932 36.76823274586744 48508.7
-116.59721960016928 36.768251847998464 48508.5
-116.59722014546487 36.76827114398829 48509.1
-116.59722067495468 36.7682905046426 48508.0
-116.59722117204996 36.76830996675356 48505.3
-116.59722163049663 36.768329427223904 48505.0
-116.59722205370744 36.7683490057124 48506.1
-116.59722243334816 36.76836857287022 48505.4
-116.59722277661868 36.76838814415721 48503.6
-116.59722308525072 36.76840752564928 48502.9
-116.59722335970972 36.76842676277837 48503.2
-116.5972235888274 36.76844574667177 48503.8
-116.5972237762371 36.76846463698425 48505.1
-116.5972239233596 36.768483377737134 48505.7
-116.59722403178192 36.76850206491473 48505.1
-116.5972240950902 36.768520583792565 48505.5
-116.59722412445907 36.76853905572132 48506.2
-116.59722414352552 36.76855754245318 48506.1
-116.59722418560528 36.768576029710246 48505.4
-116.5972242850436 36.76859474466405 48505.4
-116.59722444119215 36.768613655490725 48504.5
-116.59722464116322 36.76863284998778 48501.7
-116.59722487048332 36.76865216695121 48501.1
-116.5972251218622 36.76867166382534 48502.0
-116.59722538889127 36.76869118600824 48502.5
-116.5972256753667 36.768710825944886 48504.3
-116.59722598834216 36.76873045397952 48505.6
-116.59722633999267 36.76875009549308 48506.1
-116.5972267204242 36.76876959035343 48506.4
-116.59722712362992 36.768789021194905 48506.3
-116.5972275395974 36.768808329939446 48506.5
-116.5972279668122 36.7688276971969 48505.9
-116.59722839979904 36.76884707970199 48505.4
-116.59722883995832 36.768866580003404 48505.5
-116.59722928504073 36.76888605832183 48505.7
-116.5972297328056 36.76890560042576 48506.0
